timestamp,image_file,model_type,labels_detected,confidences,result_summary,required_class,required_cnt,result_status
2025-11-15 10:18:48,img10.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.97,5.3ms,2,4,PASS
2025-11-15 10:18:48,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,5.7ms,5,3,FAIL
2025-11-15 10:18:48,img11.jpg,LED,5|5|5|5,0.97|0.97|0.97|0.98,6.5ms,5,4,PASS
2025-11-15 10:18:48,img12.jpg,LED,8|8|8|8,0.97|0.97|0.98|0.98,9.0ms,8,4,PASS
2025-11-15 10:18:48,img13.jpg,LED,10|10|10|10,0.86|0.89|0.90|0.92,5.1ms,10,4,PASS
2025-11-15 10:18:48,img14.jpg,LED,1|1|1|1,0.94|0.96|0.96|0.96,4.0ms,1,4,PASS
2025-11-15 10:18:48,img15.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.98,5.7ms,2,4,PASS
2025-11-15 10:18:48,img16.jpg,LED,5|5|5|5,0.97|0.97|0.98|0.98,4.0ms,5,4,PASS
2025-11-15 10:18:48,img17.jpg,LED,8|8|8|8,0.97|0.97|0.97|0.98,0.0ms,8,4,PASS
2025-11-15 10:18:48,img18.jpg,LED,10|10|10|10,0.89|0.89|0.89|0.91,6.3ms,10,4,PASS
2025-11-15 10:18:48,img19.jpg,LED,8|8|8|8|8|8|8|8|8|8|8|10|10|10|10|10|10|10|10|10|10|11|11|11|11|11|11|12|12|12|12|12|12|12|12|12|12,0.85|0.85|0.86|0.89|0.89|0.90|0.90|0.90|0.91|0.93|0.93|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.95|0.95|0.95|0.95|0.95|0.97|0.97|0.97|0.97|0.97|0.97|0.97|0.98|0.98|0.98|0.98,6,0,37,PASS
2025-11-15 10:18:48,img2.jpg,LED,5|5|5,0.98|0.98|0.98,6.5ms,5,3,PASS
2025-11-15 10:18:48,img3.jpg,LED,8|8|8,0.98|0.98|0.98,4.5ms,8,3,PASS
2025-11-15 10:18:48,img4.jpg,LED,10|10,0.88|0.88,5.6ms,10,2,PASS
2025-11-15 10:18:48,img5.jpg,LED,11|11|11,0.94|0.95|0.95,4.0ms,11,3,PASS
2025-11-15 10:18:48,img6.jpg,LED,12|12|12|12|12,0.93|0.94|0.95|0.95|0.95,4.1ms,12,5,PASS
2025-11-15 10:18:48,img7.jpg,LED,11|11|11,0.94|0.94|0.95,5.5ms,11,3,PASS
2025-11-15 10:18:48,img8.jpg,LED,12|12|12|12|12,0.94|0.94|0.94|0.95|0.95,9.2ms,12,5,PASS
2025-11-15 10:18:48,img9.jpg,LED,1|1|1|1,0.96|0.97|0.97|0.97,5.7ms,1,4,PASS
2025-11-15 10:20:45,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,6.1ms,1,3,FAIL
